state_id,people,Don't know/Not sure,Refused,18-24,25-34,35-44,45-54,55-64,65-99
1,7689,5,54,383,648,902,1350,1730,2616
2,3543,5,30,233,486,592,750,815,631
3,0,0,0,0,0,0,0,0,0
4,6489,1,72,254,513,697,1013,1361,2577
5,4739,1,52,147,312,459,775,1090,1902
6,18004,0,3,949,2000,2743,3119,3683,5506
7,0,0,0,0,0,0,0,0,0
8,13612,12,154,512,1114,1822,2564,3286,4147
9,6829,6,97,285,673,954,1340,1398,2075
10,4777,3,56,241,508,570,825,1027,1546
11,4560,3,79,130,456,627,780,1040,1444
12,12399,7,134,503,1046,1279,2013,2559,4857
13,9960,8,93,341,925,1277,1828,2321,3166
14,0,0,0,0,0,0,0,0,0
15,7606,0,59,340,730,853,1261,1838,2524
16,6077,2,65,245,524,769,1055,1417,1999
17,5475,4,14,276,530,713,1024,1093,1820
18,8495,2,85,379,828,1038,1556,1865,2741
19,7354,7,75,408,741,906,1264,1477,2475
20,20712,15,105,939,2004,2473,3913,4598,6664
21,10894,8,116,380,987,1304,1996,2609,3493
22,10926,8,62,462,969,1341,1914,2466,3703
23,13243,1,99,415,960,1598,2527,3327,4315
24,10117,19,142,326,922,1547,2054,2213,2893
25,22328,93,317,808,2190,3146,4481,4853,6439
26,11049,5,95,597,972,1299,1961,2563,3556
27,15401,17,146,864,1800,2214,3234,3360,3765
28,8907,3,47,464,818,1050,1568,1956,3000
29,6405,4,43,324,626,697,1121,1425,2164
30,10265,4,55,518,970,1115,1865,2466,3271
31,25416,12,114,1479,2636,3033,4404,5120,8617
32,5493,9,81,290,564,717,958,1200,1673
33,6362,5,80,218,526,856,1226,1465,1985
34,15383,29,223,517,1552,2334,3115,3218,4393
35,9417,4,77,456,999,1116,1632,2180,2952
36,7735,6,122,464,1046,1096,1416,1454,2130
37,11550,8,131,428,1000,1554,2093,2482,3853
38,5306,2,56,252,573,621,984,1163,1654
39,9948,51,93,359,835,1305,1835,2407,3062
40,8523,2,15,379,852,1018,1453,1812,2991
41,6247,1,56,313,600,723,1023,1504,2026
42,11509,2,125,628,1217,1441,2024,2474,3597
43,0,0,0,0,0,0,0,0,0
44,6533,2,102,241,582,883,1289,1427,2006
45,12948,4,98,652,1240,1533,2140,2944,4336
46,8259,2,48,371,851,999,1453,1786,2748
47,5914,10,42,144,401,633,1013,1453,2217
48,14973,5,130,615,1470,1981,2560,3181,5030
49,12669,17,111,883,1953,2289,2117,2215,3083
50,7096,0,66,259,531,854,1390,1764,2231
51,6605,9,76,256,754,883,1243,1482,1901
52,0,0,0,0,0,0,0,0,0
53,14772,8,133,530,1112,1686,2483,3708,5111
54,5282,2,34,256,544,675,969,1204,1597
55,5302,2,48,238,533,642,995,1225,1618
56,6870,2,54,320,740,847,1217,1634,2055
66,1887,2,15,244,373,424,328,285,215
72,6613,4,41,544,821,888,1014,1145,2155
